SURVEY,YEAR,STRATUM,LENGTH,SPECIES_CODE,FREQUENCY
AI,1983,594,38,30576,156168
AI,1983,594,39,30576,78487
AI,1983,594,41,30576,100747
AI,1983,594,42,30576,98724
AI,1983,594,43,30576,76046
AI,1983,594,44,30576,115646
AI,1983,594,45,30576,94075
AI,1983,594,46,30576,167331
AI,1983,594,47,30576,47447
AI,1983,594,48,30576,95329
AI,1983,594,49,30576,46722
AI,1983,594,51,30576,113833
AI,1983,594,52,30576,102989
AI,1983,594,53,30576,83936
AI,1983,594,54,30576,93874
AI,1983,594,55,30576,60869
AI,1983,594,56,30576,192289
AI,1983,594,57,30576,174967
AI,1983,594,58,30576,164620
AI,1983,594,59,30576,180563
AI,1983,594,61,30576,82057
AI,1983,594,62,30576,125015
AI,1983,594,63,30576,105119
AI,1983,594,64,30576,35600
AI,1983,594,65,30576,83128
AI,1983,594,66,30576,114258
AI,1983,594,67,30576,84549
AI,1983,594,68,30576,22157
AI,1983,594,69,30576,28472
AI,1983,594,71,30576,19221
AI,1983,594,72,30576,22851
AI,1983,594,73,30576,31776
AI,1983,594,74,30576,22851
AI,1983,594,75,30576,22851
AI,1983,594,78,30576,19221
AI,1983,594,79,30576,22851
AI,1997,614,52,30576,20714
AI,1997,614,53,30576,11275
AI,1997,614,54,30576,6290
AI,1997,614,55,30576,17337
AI,1997,614,57,30576,12044
AI,1997,614,58,30576,8453
AI,1997,614,59,30576,2808
AI,1997,614,61,30576,11862
AI,1997,614,62,30576,2808
AI,1997,614,65,30576,5753
AI,1997,614,66,30576,2808
AI,1997,614,68,30576,2792
AI,2004,594,40,30576,41933
AI,2004,594,50,30576,184277
AI,2004,594,60,30576,10355
AI,1997,523,57,30576,3976
AI,1983,624,20,30576,8877
AI,1983,624,30,30576,71020
AI,1983,624,40,30576,17755
AI,1983,624,70,30576,8877
AI,1983,624,14,30576,8877
AI,1983,624,17,30576,35510
AI,1983,624,18,30576,26632
AI,1983,624,19,30576,8877
AI,1983,624,21,30576,17755
AI,1983,624,22,30576,35510
AI,1983,624,23,30576,26632
AI,1983,624,24,30576,53265
AI,1983,624,26,30576,44387
AI,1983,624,27,30576,17755
AI,1983,624,28,30576,53265
AI,1983,624,29,30576,71020
AI,1983,624,31,30576,79897
AI,1983,624,32,30576,124285
AI,1983,624,33,30576,44387
AI,1983,624,34,30576,88775
AI,1983,624,35,30576,124285
AI,1983,624,36,30576,115407
AI,1983,624,37,30576,88775
AI,1983,624,38,30576,124285
AI,1983,624,39,30576,35510
AI,1983,624,41,30576,79897
AI,1983,624,42,30576,62142
AI,1983,624,43,30576,53265
AI,1983,624,44,30576,62142
AI,1983,624,45,30576,17755
AI,1983,624,46,30576,26632
AI,1983,624,47,30576,17755
AI,1983,624,48,30576,13236
AI,1983,624,49,30576,17755
AI,1983,624,51,30576,17755
AI,1983,624,52,30576,4359
AI,1983,624,54,30576,8877
AI,1983,624,59,30576,4359
AI,1983,624,66,30576,8877
AI,1980,314,54,30576,24977
AI,1980,314,55,30576,24977
AI,1980,314,56,30576,12488
AI,1980,314,57,30576,49954
AI,1980,314,58,30576,24977
AI,1980,314,59,30576,37465
AI,1980,314,61,30576,12488
AI,1980,314,62,30576,12488
AI,1980,314,64,30576,12488
AI,1980,314,67,30576,12488
AI,1980,314,71,30576,12488
AI,1980,314,50,30576,24977
AI,1980,314,60,30576,24977
AI,1980,314,45,30576,12488
AI,1980,314,47,30576,12488
AI,1980,314,48,30576,37465
AI,1980,314,49,30576,12488
AI,1980,314,51,30576,49954
AI,1980,314,52,30576,37465
AI,1980,314,53,30576,62442
AI,1994,324,62,30576,5717
AI,1994,324,63,30576,5717
AI,1994,324,64,30576,5717
AI,1994,324,67,30576,5717
AI,1994,324,69,30576,5250
AI,1994,324,74,30576,5717
AI,1994,324,77,30576,4699
AI,1994,324,79,30576,5717
AI,1983,214,33,30576,697546
AI,1983,214,34,30576,591638
AI,1983,214,35,30576,315388
AI,1983,214,36,30576,110946
AI,1983,214,37,30576,254696
AI,1983,214,38,30576,617328
AI,1983,214,39,30576,391860
AI,1983,214,41,30576,231057
AI,1983,214,42,30576,150724
AI,1983,214,43,30576,71401
AI,1983,214,44,30576,58733
AI,1983,214,45,30576,85351
AI,1983,214,46,30576,22291
AI,1983,214,47,30576,114723
AI,1983,214,48,30576,32271
AI,1983,214,49,30576,65872
AI,1983,214,51,30576,20499
AI,1983,214,52,30576,20248
AI,1983,214,53,30576,12206
AI,1983,214,54,30576,9324
AI,1983,214,55,30576,13439
AI,1983,214,56,30576,9575
AI,1983,214,57,30576,44207
AI,1983,214,58,30576,8063
AI,1983,214,59,30576,9267
AI,1983,214,61,30576,10394
AI,1983,214,62,30576,19526
AI,1983,214,63,30576,9652
AI,1983,214,64,30576,19526
AI,1983,214,66,30576,5452
AI,1983,214,68,30576,1261
AI,1983,214,69,30576,2764
AI,1983,214,74,30576,7629
AI,1983,793,67,30576,3972
AI,1983,793,68,30576,794
AI,1983,793,69,30576,2383
AI,1983,793,72,30576,1589
AI,1983,793,73,30576,2383
AI,1980,414,37,30576,30293
AI,1980,414,38,30576,7573
AI,1980,414,39,30576,37866
AI,1980,414,41,30576,30293
AI,1980,414,42,30576,22720
AI,1980,414,43,30576,53012
AI,1980,414,45,30576,22720
AI,1980,414,47,30576,22720
AI,1980,414,48,30576,15146
AI,1980,414,49,30576,7573
AI,1980,414,51,30576,7573
AI,1980,414,52,30576,7573
AI,1980,414,53,30576,22720
AI,1980,414,57,30576,15146
AI,1980,414,58,30576,15146
AI,1980,414,61,30576,7573
AI,1980,414,63,30576,7573
AI,1980,414,64,30576,7573
AI,1980,414,65,30576,7573
AI,1980,614,40,30576,7200
AI,1980,614,50,30576,10800
