YEAR,NMFS_AREA,GEAR,SPECIES_CODE,LENGTH,SEX,FREQUENCY,SAMPLE_SYSTEM
2009,521,6,326,67,M,1,2
2009,521,6,326,58,F,1,2
2012,541,8,326,33,M,1,10
2012,541,8,326,38,M,1,10
2012,541,8,326,39,M,1,10
2012,541,8,326,43,M,1,10
2012,541,8,326,38,F,1,10
2020,541,6,326,60,M,1,10
2016,543,8,326,65,M,1,10
2016,543,8,326,77,M,1,10
2016,543,8,326,64,F,1,10
2016,543,8,326,56,F,1,10
2016,543,8,326,57,F,1,10
2016,543,8,326,44,M,1,10
2016,543,8,326,36,M,1,10
2016,543,8,326,54,M,1,10
2016,543,8,326,42,M,1,10
2010,541,8,326,59,M,1,5
2010,541,8,326,54,M,1,5
2010,541,8,326,66,M,1,5
2010,541,8,326,70,M,1,5
2010,541,8,326,56,M,1,5
2010,541,8,326,67,F,1,5
2014,523,2,326,84,F,1,10
2014,523,2,326,98,F,1,10
2016,543,8,326,45,M,1,10
2016,543,8,326,38,F,1,10
2016,543,8,326,44,M,1,10
2016,543,8,326,36,M,1,10
2016,543,8,326,57,M,1,10
2015,541,8,326,44,M,1,5
2015,541,8,326,55,M,1,5
2015,541,8,326,58,F,1,5
2015,541,8,326,49,F,1,5
2015,541,8,326,44,F,1,5
2015,541,8,326,44,M,1,10
2015,541,8,326,46,M,1,10
2014,521,8,326,67,M,1,10
2014,521,8,326,68,M,1,10
2014,521,8,326,71,M,1,10
2014,521,8,326,76,M,1,10
2014,521,8,326,67,F,1,10
2013,543,8,326,36,F,1,10
2013,543,8,326,55,F,2,10
2013,543,8,326,36,M,1,10
2013,543,8,326,42,M,1,10
2013,543,8,326,38,F,1,10
2013,543,8,326,54,M,1,10
2013,543,8,326,47,F,1,10
2013,543,8,326,50,F,1,10
2013,543,8,326,48,M,1,5
2013,543,8,326,51,F,1,5
2013,543,8,326,39,M,1,5
2013,543,8,326,52,F,1,5
2013,543,8,326,57,M,1,10
2013,542,8,326,47,M,1,10
2013,543,8,326,50,M,1,10
2013,543,8,326,54,M,1,10
2013,543,8,326,55,F,1,10
2013,543,8,326,60,F,1,10
2013,543,8,326,61,F,1,10
2013,543,8,326,48,M,1,10
2013,543,8,326,48,M,1,9
2013,543,8,326,53,M,1,9
2013,543,8,326,53,F,1,5
2013,543,8,326,57,M,1,5
2013,543,8,326,55,M,1,9
2013,543,8,326,79,M,1,9
2015,541,8,326,41,F,1,10
2015,541,8,326,50,F,1,10
2015,541,8,326,56,M,1,10
2015,541,8,326,42,F,1,10
2015,541,8,326,43,F,1,10
2015,541,8,326,46,F,1,10
2015,541,8,326,49,F,1,10
2015,541,8,326,51,F,1,10
2015,541,8,326,54,F,1,10
2015,541,8,326,44,M,1,10
2016,519,6,326,49,F,1,10
2009,542,8,326,44,M,1,2
2009,542,8,326,51,M,1,2
2009,542,8,326,40,F,1,2
2009,542,8,326,49,F,1,2
2009,542,8,326,37,M,1,2
2009,542,8,326,39,M,1,2
2009,542,8,326,40,M,1,2
2009,542,8,326,41,F,1,2
2009,542,8,326,45,F,1,2
2009,542,8,326,40,M,1,2
2009,542,8,326,43,M,1,2
2009,542,8,326,57,F,1,2
2009,542,8,326,43,F,1,2
2009,542,8,326,45,F,2,2
2009,542,8,326,40,M,1,2
2009,542,8,326,35,M,1,2
2009,542,8,326,41,M,1,2
2009,542,8,326,41,F,1,2
2009,542,8,326,40,F,1,2
2009,542,8,326,41,M,1,2
