survey_definition_id,year,area_id,species_code,length_mm,sex,population_count,akfin_load_date
52,1991,99904,30576,170,female,48452,2024-10-24T16:20:42Z
52,1991,99904,30576,180,male,11200,2024-10-24T16:20:42Z
52,1991,99904,30576,180,female,53851,2024-10-24T16:20:42Z
52,1991,99904,30576,190,male,11200,2024-10-24T16:20:42Z
52,1991,99904,30576,190,female,48452,2024-10-24T16:20:42Z
52,1991,99904,30576,210,male,11200,2024-10-24T16:20:42Z
52,1991,99904,30576,210,female,85302,2024-10-24T16:20:42Z
52,1991,99904,30576,220,female,91786,2024-10-24T16:20:42Z
52,1991,99904,30576,230,female,49135,2024-10-24T16:20:42Z
52,1991,99904,30576,240,female,85302,2024-10-24T16:20:42Z
52,1991,99904,30576,250,female,85302,2024-10-24T16:20:42Z
52,1991,99904,30576,260,male,17001,2024-10-24T16:20:42Z
52,1991,99904,30576,260,female,234567,2024-10-24T16:20:42Z
52,1991,99904,30576,270,male,22400,2024-10-24T16:20:42Z
52,1991,99904,30576,270,female,108174,2024-10-24T16:20:42Z
52,1991,99904,30576,280,male,64175,2024-10-24T16:20:42Z
52,1991,99904,30576,280,female,278306,2024-10-24T16:20:42Z
52,1991,99904,30576,290,male,22323,2024-10-24T16:20:42Z
52,1991,99904,30576,290,female,204166,2024-10-24T16:20:42Z
52,1991,99904,30576,300,male,22400,2024-10-24T16:20:42Z
52,1991,99904,30576,300,female,228958,2024-10-24T16:20:42Z
52,1991,99904,30576,310,female,309757,2024-10-24T16:20:42Z
52,1991,99904,30576,320,male,135581,2024-10-24T16:20:42Z
52,1991,99904,30576,320,female,217758,2024-10-24T16:20:42Z
52,1991,99904,30576,330,male,49135,2024-10-24T16:20:42Z
52,1991,99904,30576,330,female,207447,2024-10-24T16:20:42Z
52,1991,99904,30576,340,male,91103,2024-10-24T16:20:42Z
52,1991,99904,30576,340,female,54359,2024-10-24T16:20:42Z
52,1991,99904,30576,350,male,160030,2024-10-24T16:20:42Z
52,1991,99904,30576,350,female,216787,2024-10-24T16:20:42Z
52,1991,99904,30576,360,male,51474,2024-10-24T16:20:42Z
52,1991,99904,30576,360,female,116528,2024-10-24T16:20:42Z
52,1991,99904,30576,370,male,307118,2024-10-24T16:20:42Z
52,1991,99904,30576,370,female,216248,2024-10-24T16:20:42Z
52,1991,99904,30576,380,male,232322,2024-10-24T16:20:42Z
52,1991,99904,30576,380,female,158156,2024-10-24T16:20:42Z
52,1991,99904,30576,390,male,74524,2024-10-24T16:20:42Z
52,1991,99904,30576,390,female,213187,2024-10-24T16:20:42Z
52,1991,99904,30576,400,male,146107,2024-10-24T16:20:42Z
52,1991,99904,30576,400,female,143063,2024-10-24T16:20:42Z
52,1991,99904,30576,410,male,143650,2024-10-24T16:20:42Z
52,1991,99904,30576,410,female,338175,2024-10-24T16:20:42Z
52,1991,99904,30576,420,male,143872,2024-10-24T16:20:42Z
52,1991,99904,30576,420,female,146150,2024-10-24T16:20:42Z
52,1991,99904,30576,430,male,168792,2024-10-24T16:20:42Z
52,1991,99904,30576,430,female,129931,2024-10-24T16:20:42Z
52,1991,99904,30576,440,male,135577,2024-10-24T16:20:42Z
52,1991,99904,30576,440,female,207529,2024-10-24T16:20:42Z
52,1991,99904,30576,450,male,219254,2024-10-24T16:20:42Z
52,1991,99904,30576,450,female,174777,2024-10-24T16:20:42Z
52,1991,99904,30576,460,male,210061,2024-10-24T16:20:42Z
52,1991,99904,30576,460,female,174011,2024-10-24T16:20:42Z
52,1991,99904,30576,470,male,164787,2024-10-24T16:20:42Z
52,1991,99904,30576,470,female,130665,2024-10-24T16:20:42Z
52,1991,99904,30576,480,male,96572,2024-10-24T16:20:42Z
52,1991,99904,30576,480,female,149511,2024-10-24T16:20:42Z
52,1991,99904,30576,490,male,306090,2024-10-24T16:20:42Z
52,1991,99904,30576,490,female,135737,2024-10-24T16:20:42Z
52,1991,99904,30576,500,male,214223,2024-10-24T16:20:42Z
52,1991,99904,30576,500,female,132068,2024-10-24T16:20:42Z
52,1991,99904,30576,510,male,48861,2024-10-24T16:20:42Z
52,1991,99904,30576,510,female,302241,2024-10-24T16:20:42Z
52,1991,99904,30576,520,male,94065,2024-10-24T16:20:42Z
52,1991,99904,30576,520,female,59094,2024-10-24T16:20:42Z
52,1991,99904,30576,530,male,37327,2024-10-24T16:20:42Z
52,1991,99904,30576,530,female,110638,2024-10-24T16:20:42Z
52,1991,99904,30576,540,male,213021,2024-10-24T16:20:42Z
52,1991,99904,30576,540,female,85302,2024-10-24T16:20:42Z
52,1991,99904,30576,550,male,94880,2024-10-24T16:20:42Z
52,1991,99904,30576,550,female,69117,2024-10-24T16:20:42Z
52,1991,99904,30576,560,male,160096,2024-10-24T16:20:42Z
52,1991,99904,30576,560,female,61333,2024-10-24T16:20:42Z
52,1991,99904,30576,570,male,84988,2024-10-24T16:20:42Z
52,1991,99904,30576,570,female,86269,2024-10-24T16:20:42Z
52,1991,99904,30576,580,male,117440,2024-10-24T16:20:42Z
52,1991,99904,30576,580,female,74732,2024-10-24T16:20:42Z
52,1991,99904,30576,590,male,60483,2024-10-24T16:20:42Z
52,1991,99904,30576,590,female,79062,2024-10-24T16:20:42Z
52,1991,99904,30576,600,male,148279,2024-10-24T16:20:42Z
52,1991,99904,30576,600,female,43986,2024-10-24T16:20:42Z
52,1991,99904,30576,610,male,70242,2024-10-24T16:20:42Z
52,1991,99904,30576,610,female,50666,2024-10-24T16:20:42Z
52,1991,99904,30576,620,male,60090,2024-10-24T16:20:42Z
52,1991,99904,30576,620,female,62407,2024-10-24T16:20:42Z
52,1991,99904,30576,630,male,96109,2024-10-24T16:20:42Z
52,1991,99904,30576,630,female,47194,2024-10-24T16:20:42Z
52,1991,99904,30576,640,male,64658,2024-10-24T16:20:42Z
52,1991,99904,30576,640,female,39101,2024-10-24T16:20:42Z
52,1991,99904,30576,650,male,114334,2024-10-24T16:20:42Z
52,1991,99904,30576,650,female,16674,2024-10-24T16:20:42Z
52,1991,99904,30576,660,male,20566,2024-10-24T16:20:42Z
52,1991,99904,30576,660,female,11200,2024-10-24T16:20:42Z
52,1991,99904,30576,670,male,20474,2024-10-24T16:20:42Z
52,1991,99904,30576,670,female,13098,2024-10-24T16:20:42Z
52,1991,99904,30576,680,female,4966,2024-10-24T16:20:42Z
52,1991,99904,30576,700,male,26897,2024-10-24T16:20:42Z
52,1991,99904,30576,710,male,16608,2024-10-24T16:20:42Z
52,1991,99904,30576,710,female,20598,2024-10-24T16:20:42Z
52,1991,99904,30576,750,female,4966,2024-10-24T16:20:42Z
52,1991,99904,30576,810,female,8045,2024-10-24T16:20:42Z
52,1991,99904,30576,860,male,8045,2024-10-24T16:20:42Z
52,1991,99904,30576,870,female,8045,2024-10-24T16:20:42Z
52,1994,99904,30576,160,male,5709,2024-10-24T16:20:42Z
52,1994,99904,30576,180,male,5709,2024-10-24T16:20:42Z
52,1994,99904,30576,180,female,15150,2024-10-24T16:20:42Z
52,1994,99904,30576,190,male,7575,2024-10-24T16:20:42Z
52,1994,99904,30576,200,male,7575,2024-10-24T16:20:42Z
52,1994,99904,30576,220,female,8140,2024-10-24T16:20:42Z
