year,country,fmp_management_area,council_management_area_id,council_management_area,council_sablefish_management_area_id,council_sablefish_management_area,geographic_area_name,area_code,exploitable,species_code,species,cpue,cpue_var,rpn,rpn_var,rpw,rpw_var,mean_length,mean_weight,last_modified_date,akfin_load_date
1979,Japan,BSAI,2,Bering Sea,2,Bering Sea,Bering 2 slope,8,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:06:00Z,2023-09-12T19:26:17Z
1979,Japan,BSAI,1,Aleutians,1,Aleutians,NW Aleutians slope,16,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:06:00Z,2023-09-12T19:26:17Z
1979,Japan,BSAI,2,Bering Sea,2,Bering Sea,Bering 1 slope,9,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:06:00Z,2023-09-12T19:26:17Z
1979,Japan,BSAI,1,Aleutians,1,Aleutians,SW Aleutians slope,17,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:06:00Z,2023-09-12T19:26:17Z
1979,Japan,BSAI,1,Aleutians,1,Aleutians,NE Aleutians slope,15,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:06:00Z,2023-09-12T19:26:17Z
1979,Japan,BSAI,1,Aleutians,1,Aleutians,SE Aleutians slope,18,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:06:00Z,2023-09-12T19:26:17Z
1980,Japan,BSAI,2,Bering Sea,2,Bering Sea,Bering 1 slope,9,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:02:46Z,2023-09-12T19:26:17Z
1980,Japan,BSAI,1,Aleutians,1,Aleutians,SE Aleutians slope,18,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:02:46Z,2023-09-12T19:26:17Z
1980,Japan,BSAI,1,Aleutians,1,Aleutians,SW Aleutians slope,17,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:02:46Z,2023-09-12T19:26:17Z
1980,Japan,BSAI,1,Aleutians,1,Aleutians,NW Aleutians slope,16,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:02:46Z,2023-09-12T19:26:17Z
1980,Japan,BSAI,1,Aleutians,1,Aleutians,NE Aleutians slope,15,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T04:02:46Z,2023-09-12T19:26:17Z
1981,Japan,BSAI,1,Aleutians,1,Aleutians,NE Aleutians slope,15,1,30576,Shortraker rockfish,0,NA,0,NA,NA,NA,NA,NA,2021-07-24T03:58:36Z,2023-09-12T19:26:17Z
