survey_definition_id,area_id,species_code,year,n_haul,n_weight,n_count,n_length,cpue_kgkm2_mean,cpue_kgkm2_var,cpue_nokm2_mean,cpue_nokm2_var,biomass_mt,biomass_var,population_count,population_var,akfin_load_date
52,3499,30576,1991,91,21,20,10,194.95645,4644.690422,77.786639,932.380548,3225.087742,1271055.824158,1286794,255153221827.131,2024-09-11T13:00:14Z
52,3499,30576,1994,114,19,19,19,493.537916,17180.2477,279.610082,7687.499537,8164.403284,4701509.017134,4625479,2103744312874.19,2024-09-11T13:00:14Z
52,3499,30576,1997,116,23,23,23,1303.315961,273688.124723,675.932107,74275.059812,21560.242441,74896893.729992,11181679,20325950448802.2,2024-09-11T13:00:14Z
52,3499,30576,2000,110,23,23,23,818.672363,19129.528603,445.884684,6161.551211,13542.974344,5234944.966312,7376095,1686156630894.69,2024-09-11T13:00:14Z
52,3499,30576,2002,114,24,24,24,522.243958,16075.402942,260.415315,2450.991465,8639.276041,4399159.616666,4307948,670732964619.703,2024-09-11T13:00:14Z
52,3499,30576,2004,130,34,34,34,530.709071,8389.807277,269.634963,1779.380365,8779.311058,2295936.313205,4460465,486941339697.901,2024-09-11T13:00:14Z
52,3499,30576,2006,110,26,26,26,322.495809,1782.368478,158.521221,486.310083,5334.921112,487759.060224,2622354,133082553957.224,2024-09-11T13:00:14Z
52,3499,30576,2010,128,15,15,15,448.80396,19476.642542,244.047486,5981.70402,7424.387087,5329935.407815,4037181,1636940041743.85,2024-09-11T13:00:14Z
52,3499,30576,2012,113,18,18,18,434.139865,34319.338834,221.570394,10827.493252,7181.804731,9391755.218238,3665352,2963028126455.25,2024-09-11T13:00:14Z
52,3499,30576,2014,110,16,16,16,766.360722,137309.228758,394.054199,36580.275937,12677.603475,37575743.283943,6518683,10010478321750,2024-09-11T13:00:14Z
52,3499,30576,2016,114,14,14,14,190.387074,809.073047,137.94784,340.175788,3149.498356,221409.160882,2282017,93091762285.815308,2024-09-11T13:00:14Z
52,3499,30576,2018,120,9,9,9,177.299365,6182.184373,126.700642,3607.365786,2932.99354,1691803.056845,2095959,987183832718.475,2024-09-11T13:00:14Z
52,3499,30576,2022,112,9,9,9,760.899841,117383.431958,491.51815,52722.545555,12587.266274,32122893.304015,8130991,14427936526616.5,2024-09-11T13:00:14Z
52,3499,30576,2024,80,7,7,7,575.596539,88690.929717,409.060372,38307.796663,9521.866758,24270965.883424,6766925,10483227866002,2024-09-11T13:00:14Z
