survey_definition_id,area_id,species_code,year,n_haul,n_weight,n_count,n_length,cpue_kgkm2_mean,cpue_kgkm2_var,cpue_nokm2_mean,cpue_nokm2_var,biomass_mt,biomass_var,population_count,population_var,akfin_load_date
52,5699,30576,1991,129,14,14,8,41.792677,485.597614,25.485616,246.320353,1053.194213,308384.897553,642249,156428850975.55,2024-09-11T13:00:14Z
52,5699,30576,1994,133,18,18,18,461.379818,36420.972421,227.643765,8679.858816,11626.978568,23129598.525877,5736725,5512253966167.25,2024-09-11T13:00:14Z
52,5699,30576,1997,136,18,18,18,311.113997,16152.291767,175.880339,7318.580419,7840.212426,10257716.886786,4432264,4647756927149.16,2024-09-11T13:00:14Z
52,5699,30576,2000,138,19,19,19,232.642018,8749.168869,134.721274,4648.891923,5862.683297,5556270.190705,3395037,2952337530584.14,2024-09-11T13:00:14Z
52,5699,30576,2002,132,16,16,16,110.976136,861.727321,60.893079,327.962301,2796.648466,547250.818825,1534533,208276601092.689,2024-09-11T13:00:14Z
52,5699,30576,2004,112,16,16,16,297.59311,19051.854244,180.673887,4752.291316,7499.479979,12099120.658751,4553063,3018002621002.07,2024-09-11T13:00:14Z
52,5699,30576,2006,91,14,14,13,157.737951,12388.815851,73.484838,2842.836405,3975.067191,7867673.974719,1851851,1805379163737.4,2024-09-11T13:00:14Z
52,5699,30576,2010,121,10,10,10,161.543165,4211.484183,88.226815,1830.722541,4070.960301,2674556.22053,2223355,1162623471405.7,2024-09-11T13:00:14Z
52,5699,30576,2012,132,11,11,11,159.962623,4997.016608,111.149018,3256.813376,4031.129918,3173418.508404,2801005,2068280467097.41,2024-09-11T13:00:14Z
52,5699,30576,2014,122,10,10,10,85.068336,892.114255,51.697617,345.180974,2143.760271,566548.424988,1302803,219211537273.103,2024-09-11T13:00:14Z
52,5699,30576,2016,127,11,11,11,239.27129,5244.678107,182.900546,3485.28993,6029.743934,3330699.071236,4609176,2213377388308.77,2024-09-11T13:00:14Z
52,5699,30576,2018,126,10,10,10,453.044066,136830.041177,343.165878,79852.35003,11416.913892,86895645.785795,8647934,50711243405791,2024-09-11T13:00:14Z
52,5699,30576,2022,131,10,10,10,244.744318,25190.193818,198.86849,20256.091956,6167.666712,15997350.73158,5011575,12863887027208.4,2024-09-11T13:00:14Z
52,5699,30576,2024,104,11,11,11,77.806751,1622.926462,60.77937,1706.971676,1960.765049,1030659.946888,1531667,1084033921668.97,2024-09-11T13:00:14Z
