survey_definition_id,year,area_id,species_code,length_mm,sex,population_count,akfin_load_date
78,2010,99905,30576,130,unsexed,4129,2024-10-24T16:20:42Z
78,2010,99905,30576,150,male,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,160,male,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,170,male,8269,2024-10-24T16:20:42Z
78,2010,99905,30576,180,male,5378,2024-10-24T16:20:42Z
78,2010,99905,30576,190,male,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,190,female,2986,2024-10-24T16:20:42Z
78,2010,99905,30576,200,male,11268,2024-10-24T16:20:42Z
78,2010,99905,30576,210,male,2986,2024-10-24T16:20:42Z
78,2010,99905,30576,220,female,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,230,male,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,230,female,9723,2024-10-24T16:20:42Z
78,2010,99905,30576,240,male,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,250,male,5378,2024-10-24T16:20:42Z
78,2010,99905,30576,250,female,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,260,male,7020,2024-10-24T16:20:42Z
78,2010,99905,30576,270,male,4129,2024-10-24T16:20:42Z
78,2010,99905,30576,270,female,5782,2024-10-24T16:20:42Z
78,2010,99905,30576,280,male,7020,2024-10-24T16:20:42Z
78,2010,99905,30576,290,male,2986,2024-10-24T16:20:42Z
78,2010,99905,30576,290,female,2576,2024-10-24T16:20:42Z
78,2010,99905,30576,300,male,2576,2024-10-24T16:20:42Z
78,2010,99905,30576,300,female,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,310,male,2487,2024-10-24T16:20:42Z
78,2010,99905,30576,320,male,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,320,female,5782,2024-10-24T16:20:42Z
78,2010,99905,30576,330,male,2487,2024-10-24T16:20:42Z
78,2010,99905,30576,330,female,15716,2024-10-24T16:20:42Z
78,2010,99905,30576,340,male,11564,2024-10-24T16:20:42Z
78,2010,99905,30576,340,female,5782,2024-10-24T16:20:42Z
78,2010,99905,30576,350,male,17378,2024-10-24T16:20:42Z
78,2010,99905,30576,350,female,5782,2024-10-24T16:20:42Z
78,2010,99905,30576,360,male,12541,2024-10-24T16:20:42Z
78,2010,99905,30576,360,female,2252,2024-10-24T16:20:42Z
78,2010,99905,30576,370,male,5608,2024-10-24T16:20:42Z
78,2010,99905,30576,370,female,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,380,male,14899,2024-10-24T16:20:42Z
78,2010,99905,30576,380,female,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,390,male,5143,2024-10-24T16:20:42Z
78,2010,99905,30576,390,female,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,400,male,16553,2024-10-24T16:20:42Z
78,2010,99905,30576,400,female,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,410,male,63134,2024-10-24T16:20:42Z
78,2010,99905,30576,410,female,2891,2024-10-24T16:20:42Z
78,2010,99905,30576,420,male,2487,2024-10-24T16:20:42Z
78,2010,99905,30576,420,female,4618,2024-10-24T16:20:42Z
78,2010,99905,30576,430,male,15314,2024-10-24T16:20:42Z
78,2010,99905,30576,430,female,19093,2024-10-24T16:20:42Z
78,2010,99905,30576,440,male,7140,2024-10-24T16:20:42Z
78,2010,99905,30576,440,female,13573,2024-10-24T16:20:42Z
78,2010,99905,30576,450,male,4889,2024-10-24T16:20:42Z
