survey_definition_id,area_id,species_code,year,n_haul,n_weight,n_count,n_length,cpue_kgkm2_mean,cpue_kgkm2_var,cpue_nokm2_mean,cpue_nokm2_var,biomass_mt,biomass_var,population_count,population_var,akfin_load_date
52,799,30576,1991,55,3,3,3,257.31954,28842.08483,158.582231,6733.097693,1925.151322,1614398.926758,1186442,376876559118.375,2024-09-11T13:00:14Z
52,799,30576,1994,64,2,2,2,261.854773,41283.811595,29.717837,382.621988,1959.081933,2310808.720068,222336,21416777982.8445,2024-09-11T13:00:14Z
52,799,30576,1997,52,2,2,2,324.590727,99533.442173,24.469941,413.223767,2428.444677,5571257.527518,183073,23129673526.9798,2024-09-11T13:00:14Z
52,799,30576,2000,58,2,2,2,86.25365,3995.450326,7.078028,23.313021,645.311775,223640.23809,52955,1304916652.27966,2024-09-11T13:00:14Z
52,799,30576,2002,61,3,3,3,195.576379,16299.577671,51.874797,1393.399419,1463.216216,912348.0793,388104,77993756010.9564,2024-09-11T13:00:14Z
52,799,30576,2004,53,3,3,3,84.249596,2582.514574,32.05543,596.733641,630.318321,144552.960759,239825,33401404768.3139,2024-09-11T13:00:14Z
52,799,30576,2006,44,4,4,4,157.750808,6763.468627,54.115502,1796.398361,1180.221976,378576.533437,404868,100551107988.094,2024-09-11T13:00:14Z
52,799,30576,2010,51,1,1,1,2.002521,4.01009,1.37159,1.881258,14.981977,224.459649,10262,105301017.395593,2024-09-11T13:00:14Z
52,799,30576,2012,55,4,4,4,75.101855,2862.014262,6.835839,14.109546,561.878956,160197.599451,51143,789763873.259992,2024-09-11T13:00:14Z
52,799,30576,2014,44,2,2,2,3.762305,7.081832,1.630929,1.750322,28.147903,396.396498,12202,97972035.179505,2024-09-11T13:00:14Z
52,799,30576,2016,43,1,1,1,9.945211,98.90723,9.468023,89.64346,74.405686,5536.206098,70836,5017678408.31172,2024-09-11T13:00:14Z
52,799,30576,2018,45,1,1,1,1.779262,3.165772,0.830654,0.689987,13.31165,177.200024,6215,38621118.148643,2024-09-11T13:00:14Z
52,799,30576,2022,47,2,2,2,16.997132,103.136342,5.790531,15.76879,127.165045,5772.925226,43322,882637919.417606,2024-09-11T13:00:14Z
52,799,30576,2024,35,0,0,0,0,0,0,0,0,0,0,0,2024-09-11T13:00:14Z
