survey_definition_id,area_id,species_code,year,n_haul,n_weight,n_count,n_length,cpue_kgkm2_mean,cpue_kgkm2_var,cpue_nokm2_mean,cpue_nokm2_var,biomass_mt,biomass_var,population_count,population_var,akfin_load_date
52,299,30576,1991,56,11,11,7,1155.839109,981541.928909,543.811306,212083.094084,17557.634136,226488458.297295,8260700,48937667964290,2024-09-11T13:00:14Z
52,299,30576,1994,69,9,9,9,427.451234,24160.347472,269.565581,9558.552486,6493.146253,5574942.53645,4094803,2205613181105.73,2024-09-11T13:00:14Z
52,299,30576,1997,92,11,11,11,438.294168,40007.494695,259.321392,12614.797025,6657.854521,9231633.949448,3939190,2910834316719.17,2024-09-11T13:00:14Z
52,299,30576,2000,113,11,11,11,1168.243586,1143524.025786,409.126874,116551.538116,17746.062843,263865440.688842,6214792,26893989347478.8,2024-09-11T13:00:14Z
52,299,30576,2002,107,13,13,13,257.152133,19764.643009,143.686267,3364.148191,3906.238363,4560644.219073,2182649,776269168797.014,2024-09-11T13:00:14Z
52,299,30576,2004,124,14,14,14,1075.209461,583441.944449,391.839215,69876.608445,16332.839217,134627836.684607,5952186,16123860684586.4,2024-09-11T13:00:14Z
52,299,30576,2006,112,21,21,21,162.638633,2047.157572,100.558929,1182.590205,2470.542478,472376.725573,1527528,272879868354.407,2024-09-11T13:00:14Z
52,299,30576,2010,118,11,11,11,442.946532,43880.630468,245.573861,11312.452584,6728.525698,10125350.788602,3730360,2610321444064.29,2024-09-11T13:00:14Z
52,299,30576,2012,120,8,8,8,293.263411,19503.856321,197.41232,6349.178487,4454.782362,4500468.312983,2998768,1465057787760.58,2024-09-11T13:00:14Z
52,299,30576,2014,134,11,11,11,103.956781,535.234839,95.46036,1734.143604,1579.142906,123504.162188,1450079,400149499265.611,2024-09-11T13:00:14Z
52,299,30576,2016,135,9,9,9,384.824365,82189.733607,283.953013,37401.462457,5845.627946,18965084.938532,4313354,8630298228272.54,2024-09-11T13:00:14Z
52,299,30576,2018,129,6,6,6,787.975767,540909.123216,344.902332,72588.372862,11969.65054,124813489.661514,5239197,16749593853894,2024-09-11T13:00:14Z
52,299,30576,2022,108,8,8,8,49.388389,201.538868,49.506218,472.914328,750.228342,46504.613013,752018,109123852813.368,2024-09-11T13:00:14Z
52,299,30576,2024,88,4,4,4,26.035889,140.488764,26.714916,240.596802,395.49502,32417.447081,405810,55517138113.0986,2024-09-11T13:00:14Z
