model_name,strata,variable,year,log_pred,sd_log_pred,pred,pred_lci,pred_uci,obs,obs_cv,log_obs,sd_log_obs,obs_lci,obs_uci,pred_sd
Model 18.a,AI,biomass_pred,1980,9.703930139219077,0.32690721321165256,16381.863852115055,8631.760621557649,31090.46636430076,6829.3,0.5531111147836847,8.828977458293444,0.51664,2480.912376668593,18799.268740247917,NA
Model 18.a,AI,biomass_pred,1981,9.775927255640678,0.2639271821148661,17604.806769487543,10494.84521982833,29531.566678604533,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1982,9.84792437206228,0.21062674907595072,18919.045121412124,12520.261483413475,28588.082507717976,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1983,9.919921488483881,0.17602992913547116,20331.394317055954,14398.929854995255,28708.077547319324,26275.5,0.20068778112105812,10.176392225059812,0.19871000000000005,17799.538014323287,38787.6303134629,NA
Model 18.a,AI,biomass_pred,1984,9.849257703352125,0.18764341731745066,18944.287300600576,13114.625849770015,27365.32673053649,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1985,9.778593918220368,0.21315488419878031,17651.8154992758,11623.893255110883,26805.69956915877,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1986,9.707930133088611,0.248317123326428,16447.522436518124,10109.567327642795,26758.909212669867,11667.2,0.250571750536354,9.364536765044289,0.24676699999999996,7193.134672950827,18924.093879665692,NA
Model 18.a,AI,biomass_pred,1987,9.761124424866251,0.2529438874807695,17346.125127935924,10565.650668140903,28477.948628501585,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1988,9.814318716643893,0.25324636212954815,18293.822556882766,11136.296055386065,30051.63854106165,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1989,9.867513008421533,0.24924029146791626,19293.296991368752,11837.302033126203,31445.62061147756,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1990,9.920707300199172,0.24071065429550106,20347.377243861607,12694.48704281487,32613.823568267122,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1991,9.973901591976812,0.2271484284183349,21459.046677674403,13748.690375384487,33493.42168175281,21835.4,0.6916255270693147,9.99128778496414,0.625239,6411.457243997757,74364.48142992031,NA
Model 18.a,AI,biomass_pred,1992,10.026119053801166,0.22039845546111514,22609.35536483388,14678.601307508572,34825.04492794257,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1993,10.07833651562552,0.2066626328890048,23821.326161015706,15887.4568291954,35717.20673548665,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1994,10.130553977449871,0.18438628615444874,25098.26445348809,17486.13390136256,36024.13673202736,26284.4,0.2198947462565436,10.176730886285767,0.21730399999999994,17168.350363291323,40240.88912101826,NA
Model 18.a,AI,biomass_pred,1995,10.161293331972205,0.2208900999273974,25881.7491163936,16786.9435160475,39903.9251358404,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1996,10.192032686494539,0.2444287711029426,26689.69157470348,16530.477848415878,43092.50118991942,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1997,10.22277204101687,0.2585677207477891,27522.85531975882,16580.600075832317,45686.37814601838,36058.3,0.2694324217614409,10.492892351996538,0.26472599999999985,21461.993942096273,60581.55651324369,NA
Model 18.a,AI,biomass_pred,1998,10.168852882170125,0.25736321076025215,26078.14489463948,15747.395384010002,43186.166636570124,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,1999,10.114933723323377,0.2460927192908769,24709.269196266276,15254.058177822793,40025.28226234264,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2000,10.061014564476631,0.22323682249612253,23412.2475613308,15115.536972142589,36262.90861404599,37151.8,0.44608278029505394,10.522767501192861,0.4260040000000001,16119.98368434759,85623.92309244219,NA
Model 18.a,AI,biomass_pred,2001,9.951211222887306,0.18269093398032427,20977.615568367328,14663.894162439094,30009.787990791843,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2002,9.841407881297982,0.1576575128315437,18796.160162813267,13799.737293428218,25601.6204768171,15342,0.2009741395402618,9.63834944451924,0.19898800000000025,10387.309827389601,22660.05037987313,NA
Model 18.a,AI,biomass_pred,2003,9.844239667559014,0.17375485174531852,18849.46230544085,13409.067229132652,26497.16219128971,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2004,9.847071453820048,0.17812162613857413,18902.915602260822,13332.493856998402,26800.703761707227,32611.6,0.3743297831802907,10.39242333228381,0.362127,16037.218472664537,66315.51826601138,NA
Model 18.a,AI,biomass_pred,2005,9.75856311716977,0.18528331966055933,17301.753213462376,12033.076160237291,24877.318174777716,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2006,9.670054780519491,0.20394219766624672,15836.216515919521,10618.312864213718,23618.229821075514,11780.6,0.2522081349447642,9.374209389694574,0.24832999999999988,7240.832995682356,19166.653400617666,NA
Model 18.a,AI,biomass_pred,2007,9.686915483629736,0.21044417127089565,16105.48995157934,10662.119306311852,24327.88445978738,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2008,9.703776186739983,0.20632902304673087,16379.342017689154,10931.225883897952,24542.7958201492,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2009,9.72063688985023,0.19091141814336826,16657.85056766491,11458.159623463614,24217.15132737654,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2010,9.737497592960477,0.16097596311305257,16941.094778714585,12357.154707865875,23225.467276759267,18223.7,0.23364678029067282,9.810478223742862,0.23054899999999987,11598.261406031708,28633.881412371753,NA
Model 18.a,AI,biomass_pred,2011,9.724201325030496,0.17513055056030197,16717.33234274445,11860.297461874974,23563.422549571435,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2012,9.710905057100517,0.16687790509702777,16496.52541988641,11894.487937906995,22879.114456174277,15667.7,0.26366769883668384,9.659356547295797,0.25925000000000004,9426.082730669423,26042.294588747613,NA
Model 18.a,AI,biomass_pred,2013,9.714454338457603,0.18701476649017168,16555.1802597058,11474.840459949262,23884.77594855942,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2014,9.718003619814688,0.18808558048241325,16614.043651941305,11491.497074642126,24020.059760334345,16400.5,0.3771796034142174,9.705067101152425,0.3647090000000001,8024.467545405462,33519.53244598853,NA
Model 18.a,AI,biomass_pred,2015,9.723689047750797,0.20281086992699088,16708.770626381713,11228.237020404293,24864.367873397805,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2016,9.729374475686908,0.2028448344079509,16804.03769809616,11291.50447753201,25007.79975962564,15024.8,0.3158267344190668,9.617457448166727,0.30834999999999985,8209.953622557954,27496.454355081354,NA
Model 18.a,AI,biomass_pred,2017,9.76091313620701,0.23851730336525218,17342.460475578,10866.36819858396,27678.14690709435,NA,NA,NA,NA,NA,NA,NA
Model 18.a,AI,biomass_pred,2018,9.792451796727114,0.27006917378161033,17898.135004842363,10542.035688583679,30387.227487616445,26319.6,0.5550334898816328,10.17806918775538,0.518215,9531.777080470985,72674.941756587,NA
Model 18.a,SBS,biomass_pred,1980,4.586357110193725,0.8390911148035034,98.13627855582719,18.949333235189687,508.23578060795563,44.8,1.0000006474650547,3.8022081394209395,0.8325549999999999,8.762053753987729,229.06045276046945,NA
Model 18.a,SBS,biomass_pred,1981,6.042892387073137,1.0897263495825047,421.10928615969135,49.75286196512236,3564.2779909674055,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1982,7.499427663952549,1.0037125412016412,1807.0079026793794,252.69601191299665,12921.761351223722,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1983,8.955962940831961,0.4048208790506257,7753.990870454201,3507.043303169774,17143.892795605017,9477,0.4290002290585629,9.156623089470195,0.41101500000000013,4234.618381348629,21209.356053330215,NA
Model 18.a,SBS,biomass_pred,1984,8.88319330501193,0.9852730551840104,7209.777032272154,1045.3359561943414,49726.487017935506,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1985,8.810423669191902,1.008027183666557,6703.758841546625,929.5742575668969,48345.12384545078,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1986,8.737654033371873,0.5476745140433436,6233.255536815351,2130.7551163503367,18234.603446025907,6485.4,0.6359994116921772,8.777308775650212,0.582819,2069.380417306057,20325.123794664454,NA
Model 18.a,SBS,biomass_pred,1987,8.514578498242303,1.1132068254122987,4986.943610794656,562.6924523590232,44197.512287543024,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1988,8.291502963112734,1.3079451244388227,3989.826252166117,307.34706854191006,51793.93315184084,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1989,8.068427427983163,1.309358778383103,3192.0781073233934,245.2140198208521,41552.93669871494,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1990,7.845351892853593,1.1181812563718554,2553.8361821448716,285.3615298551224,22855.49579350637,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1991,7.622276357724023,0.5643112467961581,2043.2079121964725,676.0362088071314,6175.258836843277,1925.2,0.6600004968400799,7.562785137428954,0.6013180000000001,592.424544694729,6256.315801212916,NA
Model 18.a,SBS,biomass_pred,1992,7.611033407736103,1.0280526647204566,2020.3648799793552,269.37035327164637,15153.390856408132,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1993,7.599790457748181,1.0390912045764533,1997.7772325019669,260.6579783349841,15311.68888900859,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1994,7.588547507760261,0.6220144156115464,1975.4421145669507,583.7201397994135,6685.346764539823,1959.1,0.7760005731470632,7.580240463093986,0.686559,510.10141037910796,7524.136832218389,NA
Model 18.a,SBS,biomass_pred,1995,7.599994799046265,1.053217996121581,1998.18550260674,253.59169124035193,15744.779662530278,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1996,7.611442090332269,1.0725756168029998,2021.190736688846,246.96151399505743,16541.89726970399,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1997,7.622889381618273,0.7143898462649816,2044.460831463056,504.0679155245031,8292.176436259271,2428.4,0.9720002458042065,7.794987883256279,0.815568,491.029386501893,12009.722273469803,NA
Model 18.a,SBS,biomass_pred,1998,7.301213355933472,1.0687325850046394,1482.0971483987732,182.46091399965246,12038.80825290593,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,1999,6.979537330248672,1.0433498507106318,1074.4211498147602,139.01880330823585,8303.774595223282,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2000,6.657861304563871,0.5912034934166912,778.8833602550542,244.47761485368912,2481.4512741596723,645.3,0.732999360937042,6.469715324941794,0.655759,178.47549384373346,2333.1611586103536,NA
Model 18.a,SBS,biomass_pred,2001,6.899504695055068,0.9057301174885375,991.7833587274466,168.05751719472454,5852.961813716311,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2002,7.141148085546265,0.5365880890360794,1262.8774484623627,441.1807945950978,3614.979322249331,1463.2,0.6529998701067069,7.288381097076656,0.5959530000000001,455.0169543653056,4705.21860660418,NA
Model 18.a,SBS,biomass_pred,2003,6.849051819060764,0.890394266764616,942.9863609495853,164.66467349433964,5400.206723559979,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2004,6.556955552575263,0.5058950366048957,704.124757330673,261.23476894019876,1897.8778203887348,630.3,0.6030005890520043,6.446195896519065,0.556898,211.5996135071411,1877.4991287334879,NA
Model 18.a,SBS,biomass_pred,2005,6.724669463393635,0.8783201027824569,832.6966943140166,148.88790316340118,4657.086102962424,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2006,6.892383374212007,0.4666739015305575,984.745639892139,394.53952867159256,2457.862659672204,1180.2,0.5210000729530097,7.073439194623068,0.490052,451.6713998986763,3083.8172182530566,NA
Model 18.a,SBS,biomass_pred,2007,6.089416447364157,1.0611133153526486,441.16389366278986,55.128816545564234,3530.378362300855,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2008,5.2864495205163085,1.2222057024976154,197.64045981765526,18.010778098040753,2168.7986573541425,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2009,4.48348259366846,1.1494609449506117,88.54249388503138,9.305266590539775,842.5092550654214,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2010,3.680515666820611,0.7799887962438178,39.66684367469019,8.600030225428348,182.95964617193408,15,0.9990002773894018,2.70805020110221,0.831954,2.937181136518774,76.60405999565826,NA
Model 18.a,SBS,biomass_pred,2011,4.686487468055979,0.9411714600908836,108.47150025936298,17.147035525262677,686.1866210740671,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2012,5.692459269291348,0.6036497253207554,296.62219825230096,90.8606985392638,968.347480379609,561.9,0.7120002368891079,6.3313238981181525,0.640378,160.16524789805771,1971.2866189359472,NA
Model 18.a,SBS,biomass_pred,2013,4.692646277135226,0.9093915243032915,109.14161696223897,18.361785715485343,648.7327941686109,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2014,3.692833284979104,0.5768438250141831,40.158466302646964,12.964828140422679,124.39057412204573,28.1,0.7089998857432805,3.3357695763397,0.638162,8.044551580925775,98.15463199617287,NA
Model 18.a,SBS,biomass_pred,2015,3.82185961359249,0.9343360099954262,45.689093428805,7.319885490983514,285.18113581386,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2016,3.950885942205876,0.6970551103537311,51.98139895617677,13.259085700358971,203.78975583271628,74.4,1.0000006474650547,4.309455941839047,0.8325549999999999,14.551267841443913,380.40396619149385,NA
Model 18.a,SBS,biomass_pred,2017,3.413878298751876,0.9778101524956853,30.38284982578649,4.470076918263838,206.51044275426696,NA,NA,NA,NA,NA,NA,NA
Model 18.a,SBS,biomass_pred,2018,2.8768706552978762,0.7602099618566552,17.758613313091747,4.002369294419036,78.7954143171331,13.3,1.0000006474650547,2.5877640352277083,0.8325549999999999,2.6012347082151073,68.00232191326438,NA
Model 18.a,EBS Slope,biomass_pred,2002,8.201565290614282,0.2641047831110336,3646.653915413035,2173.1422216704655,6119.288763611227,4850.77,0.43608677608983304,8.486892734216633,0.4172499999999999,2141.148747026067,10989.413802091887,NA
Model 18.a,EBS Slope,biomass_pred,2003,8.13912799689421,0.24245483035188825,3425.929144235478,2130.1022484676528,5510.0596742552425,NA,NA,NA,NA,NA,NA,NA
Model 18.a,EBS Slope,biomass_pred,2004,8.07669070317414,0.22599016750824172,3218.5644082412673,2066.8027231860233,5012.165280113713,2569.51,0.21796732752508952,7.851470498232456,0.21544300000000008,1684.476273419593,3919.5456441168776,NA
Model 18.a,EBS Slope,biomass_pred,2005,8.199110362177494,0.23975903233684395,3637.712620626904,2273.7626511728604,5819.848040622171,NA,NA,NA,NA,NA,NA,NA
Model 18.a,EBS Slope,biomass_pred,2006,8.321530021180848,0.2477443973763957,4111.445797506719,2529.962918643564,6681.515535768685,NA,NA,NA,NA,NA,NA,NA
