Year,AI,SBS,EBS Slope
1991,"21,836 (0.692)","1,925 (0.660)",NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,"26,285 (0.220)","1,959 (0.776)",NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,"36,058 (0.269)","2,428 (0.972)",NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,"37,152 (0.446)",645 (0.733),NA
2001,NA,NA,NA
2002,"15,342 (0.201)","1,463 (0.653)","4,877 (0.434)"
2003,NA,NA,NA
2004,"32,612 (0.374)",630 (0.603),"2,621 (0.217)"
2005,NA,NA,NA
2006,"11,781 (0.252)","1,180 (0.521)",NA
2007,NA,NA,NA
2008,NA,NA,"7,308 (0.315)"
2009,NA,NA,NA
2010,"18,224 (0.234)",15 (1.000),"4,370 (0.281)"
2011,NA,NA,NA
2012,"15,668 (0.264)",562 (0.712),"9,303 (0.568)"
2013,NA,NA,NA
2014,"16,401 (0.377)",28 (0.707),NA
2015,NA,NA,NA
2016,"15,025 (0.316)",74 (1.000),"6,267 (0.287)"
2017,NA,NA,NA
2018,"26,320 (0.555)",13 (1.000),NA
2019,NA,NA,NA
2020,NA,NA,NA
2021,NA,NA,NA
2022,"19,505 (0.356)",127 (0.597),NA
2023,NA,NA,NA
2024,"11,878 (0.424)",0 (NA),NA
