model_name,variable,year,pred,pred_lci,pred_uci
M22_2024,tot_biomass_pred,1991,31631.40734442486,22216.566275785335,45036.02933813708
M22_2024,tot_biomass_pred,1992,31704.915188382,22583.563569073438,44510.32026137128
M22_2024,tot_biomass_pred,1993,31778.632018343207,23116.729729326562,43686.1729484211
M22_2024,tot_biomass_pred,1994,31852.55843393401,23862.109686199034,42518.683055672125
M22_2024,tot_biomass_pred,1995,31755.38480587817,23387.14616629208,43117.89292285745
M22_2024,tot_biomass_pred,1996,31658.937769011016,23143.688544603396,43307.19965965944
M22_2024,tot_biomass_pred,1997,31563.2072522148,23099.106545743554,43128.769940664235
M22_2024,tot_biomass_pred,1998,30133.585200499965,22377.12867022315,40578.618035302
M22_2024,tot_biomass_pred,1999,28833.79964020959,21873.373646607793,38009.13453607489
M22_2024,tot_biomass_pred,2000,27631.240804729656,21516.978638167417,35482.93100289952
M22_2024,tot_biomass_pred,2001,26377.92978592054,21083.58272047494,33001.752549164485
M22_2024,tot_biomass_pred,2002,25223.504168350737,20487.996727581056,31053.556430644938
M22_2024,tot_biomass_pred,2003,24671.155088836116,19836.195284842153,30684.60885150273
M22_2024,tot_biomass_pred,2004,24141.738492261873,19409.19199553146,30028.222584584713
M22_2024,tot_biomass_pred,2005,23306.19505341807,18449.494365018316,29441.38831782177
M22_2024,tot_biomass_pred,2006,22521.876561907673,17594.094273844847,28829.840057402387
M22_2024,tot_biomass_pred,2007,22115.04089232412,17229.159810564706,28386.470323948888
M22_2024,tot_biomass_pred,2008,21893.297422300915,17136.976766206586,27969.721763673053
M22_2024,tot_biomass_pred,2009,21753.158970914497,17184.175556362014,27536.958270813717
M22_2024,tot_biomass_pred,2010,21705.484024568497,17484.48450090388,26945.49197126417
M22_2024,tot_biomass_pred,2011,21617.825003121026,17311.696278901552,26995.06451225802
M22_2024,tot_biomass_pred,2012,21565.045742596987,17302.8925848946,26877.07824565064
M22_2024,tot_biomass_pred,2013,21440.345331200046,17000.84142391702,27039.156266372527
M22_2024,tot_biomass_pred,2014,21394.183009030876,16840.278024444553,27179.543351927663
M22_2024,tot_biomass_pred,2015,21421.86464463053,16617.15702478284,27615.812029005523
M22_2024,tot_biomass_pred,2016,21442.14345393017,16486.111326075083,27888.05114834674
M22_2024,tot_biomass_pred,2017,21582.264144062392,16318.140014691542,28544.559929300623
M22_2024,tot_biomass_pred,2018,21722.2297428014,16225.925000243442,29080.330704842185
M22_2024,tot_biomass_pred,2019,21667.870272633736,15950.236194109399,29435.08775908128
M22_2024,tot_biomass_pred,2020,21606.21468705081,15787.674340243046,29569.175487296216
M22_2024,tot_biomass_pred,2021,21550.75575451813,15683.244839921213,29613.45552730843
M22_2024,tot_biomass_pred,2022,21502.910819813602,15635.08984104107,29572.91441403508
M22_2024,tot_biomass_pred,2023,21257.984701651832,15197.560810560888,29735.16074116536
M22_2024,tot_biomass_pred,2024,21018.46132757185,14780.967742992592,29888.145638371472
MpoolPE_2024,tot_biomass_pred,1991,30700.650145865944,15381.591521985742,61276.488719106186
MpoolPE_2024,tot_biomass_pred,1992,31356.1764204202,16420.02262564305,59878.711626928154
MpoolPE_2024,tot_biomass_pred,1993,32031.705813758814,18488.726180941536,55494.90902173877
MpoolPE_2024,tot_biomass_pred,1994,32727.76489380222,22941.83074787553,46687.930301428976
MpoolPE_2024,tot_biomass_pred,1995,34446.92889475366,21054.816120638032,56357.22029018874
MpoolPE_2024,tot_biomass_pred,1996,36290.820113829206,21954.912052003667,59987.65203043094
MpoolPE_2024,tot_biomass_pred,1997,38267.35830898539,26039.49860305836,56237.285297662354
MpoolPE_2024,tot_biomass_pred,1998,36914.81590348848,22010.464322163036,61911.62590860458
MpoolPE_2024,tot_biomass_pred,1999,35834.933252608105,21147.437522138414,60723.3117428322
MpoolPE_2024,tot_biomass_pred,2000,33934.548407917195,21513.49489573228,53527.03413510531
MpoolPE_2024,tot_biomass_pred,2001,28622.554730696404,18610.950092324274,44019.818184865
MpoolPE_2024,tot_biomass_pred,2002,24225.352757061868,18348.65577565397,31984.234887809835
MpoolPE_2024,tot_biomass_pred,2003,26063.369295437948,17261.79346442703,39352.76021175158
MpoolPE_2024,tot_biomass_pred,2004,25412.720052581553,16814.66120228017,38407.33587800778
MpoolPE_2024,tot_biomass_pred,2005,21868.299894287222,14106.86013754794,33899.99869592579
MpoolPE_2024,tot_biomass_pred,2006,19062.074431444133,13597.636810108495,26722.487642837474
MpoolPE_2024,tot_biomass_pred,2007,20078.294744239152,12626.3703203366,31928.25092316748
MpoolPE_2024,tot_biomass_pred,2008,20810.0447807885,12615.831929979764,34326.54827537143
MpoolPE_2024,tot_biomass_pred,2009,20071.49827503868,12241.540087323927,32909.669872506165
MpoolPE_2024,tot_biomass_pred,2010,21644.809944679593,15719.28843830631,29804.007947307524
MpoolPE_2024,tot_biomass_pred,2011,21742.14419810011,14373.152521242693,32889.15452836976
MpoolPE_2024,tot_biomass_pred,2012,21289.596939489988,15254.75397240778,29711.84842874276
MpoolPE_2024,tot_biomass_pred,2013,20542.288739838838,13183.87502847784,32007.70833760174
MpoolPE_2024,tot_biomass_pred,2014,21120.25790330394,14133.653426718323,31560.50883905421
MpoolPE_2024,tot_biomass_pred,2015,21729.931592006767,13997.47914348416,33733.92609862174
MpoolPE_2024,tot_biomass_pred,2016,22367.408293529137,15554.622746594356,32164.132934627145
MpoolPE_2024,tot_biomass_pred,2017,24030.88991283022,14929.706457399077,38680.17577240224
MpoolPE_2024,tot_biomass_pred,2018,25773.41028395178,15652.56529618449,42438.326567903554
MpoolPE_2024,tot_biomass_pred,2019,25626.142589510106,14640.963879751693,44853.54853761453
MpoolPE_2024,tot_biomass_pred,2020,24559.079886373394,13740.44070829994,43895.8558658848
MpoolPE_2024,tot_biomass_pred,2021,23565.184586296935,13705.55874931497,40517.71509235277
MpoolPE_2024,tot_biomass_pred,2022,22925.90362078213,14704.117164222416,35744.89042485713
MpoolPE_2024,tot_biomass_pred,2023,21011.93389709414,12541.27695026015,35203.860647276066
MpoolPE_2024,tot_biomass_pred,2024,19493.54107389751,11487.771275043016,33078.49142376892
